Title,Abstract,StoreId,ArticleType,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
The Assault by Our Troops on Saturday.,"After the explosion at an early hour this morning, everything betokened a brilliant victory, but soon after matters assumed a different aspect, part of the attacking force having given way, thus exposing the balance to an enfilading fire from both artillery, and infantry.",91815295,Historical Newspapers," Copyright New York Times Company Aug 2, 1864"," 78728502-1 , 1446359 , 113715", front_page," Aug 2, 1864",0362-4331, English, English, 1," New York, N.Y.","Aug 2, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91815295?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=The+Assault+by+Our+Troops+on+Saturday.%3A+Desperate+Attempt+to+Carry+the+Enemy%27s+Position.+FAILURE+OF+THE+ATTEMPT+The+Colored+Troops+Charged+With+the+Failure.+The+Loss+on+Both+Sides+Between+Four+and+Five+Thousand.+A+Detailed+Sketch+of+the+Whole+Matter.+FIRST+DISPATCH.+TWENTY-THIRD+UNITED+STATES%2C+COLORED.+TWENTY-EIGHTH+UNITED+STATES%2C+COLORED.+TWENTY-SEVENTH+U.S.+COLORED.+TWENTY-NINTH+U.S.+COLORED.+THIRTY-FIRST+U.S.+COLORED.+FORTY-THIRD+U.S.+COLORED.+THIRTY-NINTH+U.S.+COLORED.+SECOND+DISPATCH.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
The Assault--Its Character and Results.,"I am called to the fulfillment of an ungracious task to-night. Instead of success and victory which the morning fairly promised, I have to write of disaster and defeat. To-day's brief history affords another",91806880,Historical Newspapers," Copyright New York Times Company Aug 2, 1864"," 78728488 , 1446359 , 113715", front_page," Aug 2, 1864",0362-4331, English, English, 1," New York, N.Y.","Aug 2, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91806880?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=The+Assault--Its+Character+and+Results.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
The Action at Petersburgh.,"The attempt on the lines of Petereburgh on Saturday did not result in a success. It was an effort whose success or failure must occur at once, and must at once be apparent.",91810243,Historical Newspapers," Copyright New York Times Company Aug 2, 1864"," 78728543-1 , 1446359 , 113715", editorial_article," Aug 2, 1864",0362-4331, English, English, 4," New York, N.Y.","Aug 2, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91810243?accountid=13567, 4,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=The+Action+at+Petersburgh.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE REBELLION.,"From Petersburgh our news is not of the success anticipated. After the explosion, at an early hour on Saturday morning, everything betokened a brilliant victory; but by the failure of the colored troops to carry out their part of the programme, affairs began to wear a different aspect.",91806942,Historical Newspapers," Copyright New York Times Company Aug 2, 1864"," 78728541 , 1446359 , 113715", editorial_article," Aug 2, 1864",0362-4331, English, English, 4," New York, N.Y.","Aug 2, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91806942?accountid=13567, 4,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+REBELLION.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
GENERAL NEWS.,"It is worthy of notice that the first brigade to enter the Petersburgh fort after the explosion was the Forteenth New-York Heavy Artillery, the Second brigade of LEDLIE'S division, commanded by Col. ELISHA G. MARSHALL. This brigade also stormed the rifle-pits before Petersburgh, and bore an important part in the successful assault on the second line of rebel works. It is now found again at the post of honor and of danger. Col. MARSHALL, acting-brigadies, is a native of New-York, and was educated at West Point.",91810088,Historical Newspapers," Copyright New York Times Company Aug 2, 1864"," 78728542-1 , 1446359 , 113715", editorial_article," Aug 2, 1864",0362-4331, English, English, 4," New York, N.Y.","Aug 2, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91810088?accountid=13567, 4,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=GENERAL+NEWS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-02&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
PETERSBURGH.,"Dispatches from the TIMES' special army correspondent, herewith transmitted, bring before the imagination the opening of a grand battle drama, which began with early dawn of Saturday. Unlike customary skirmishing, with which the first sallies of battle begin, the combat of Saturday opens midst explosion of mines and the rude clamor of a hundred pieces of artillery.",91846860,Historical Newspapers," Copyright New York Times Company Aug 1, 1864"," 80296963-1 , 1459078 , 113715", front_page," Aug 1, 1864",0362-4331, English, English, 1," New York, N.Y.","Aug 1, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91846860?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=PETERSBURGH.%3A+GREAT+AND+ACTIVE+OPERATIONS.+SPRINGING+OF+A+MINE+UNDER+THE+REBEL+WORKS.+SIMULTANEOUS+OPENING+OF+A+HUNDRED+PIECES+OF+ARTILLERY.+OUR+TROOPS+CHARGE+THE+REBEL+WORKS+AND+CARRY+THE+FIRST+LINE.+THE+BATTLE+IN+PROGRESS+OPERATIONS+ON+THE+NORTH+BANK+OF+THE+JAMES.+THE+FEINT+OF+GENERALS+HANCOCK+AND+SHERIDAN.+RETURN+OF+OUR+TROOPS.+THE+STRATEGICAL+COMBINATIONS+OF+THE+CAMPAIGN.+A+SURVEY+OF+AFFAIRS+ACCOUNTS+BY+OUR+SPECIAL+ARMY+CORRESPONDENTS.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
Success of the Movement North of the James--Guns and Prisoners Captured Near Malvern Hill--The Rebels Anticipating a Hoist from Grant's Mines.,"The mailboat Charlotte Vanderbilt arrived here yesterday from City Point. She brings no definite news of the further operations of the Second Corps since the fighting at Malvern Hill, but it was reported at City Point that our forces were moving on successfully, and had advanced some distance up river above the point of the late fighting.",91849266,Historical Newspapers," Copyright New York Times Company Aug 1, 1864"," 80296967 , 1459078 , 113715", front_page," Aug 1, 1864",0362-4331, English, English, 1," New York, N.Y.","Aug 1, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91849266?accountid=13567, 1,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=Success+of+the+Movement+North+of+the+James--Guns+and+Prisoners+Captured+Near+Malvern+Hill--The+Rebels+Anticipating+a+Hoist+from+Grant%27s+Mines.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
The Scope of the New Invasion.,It would be vain to attempt to found a theory of the new incursion of EARLY'S raiders into the districts of the Upper Potomac from any one of the disjointed reports which the telegraph has been permitted to convey to the public.,91887022,Historical Newspapers," Copyright New York Times Company Aug 1, 1864"," 80297076-1 , 1459078 , 113715", editorial_article," Aug 1, 1864",0362-4331, English, English, 4," New York, N.Y.","Aug 1, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91887022?accountid=13567, 4,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=The+Scope+of+the+New+Invasion.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
Before Petersburgh.,"The pirouettings of the rebel brigands north of the Potomac assume their proper and insignificant magnitude this morning alongside of the great operations which Gen. GRANT has inaugurated before Petersburgh. He has, in a two-fold sense, sprung a mine upon the rebels.",91849523,Historical Newspapers," Copyright New York Times Company Aug 1, 1864"," 80297072 , 1459078 , 113715", editorial_article," Aug 1, 1864",0362-4331, English, English, 4," New York, N.Y.","Aug 1, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91849523?accountid=13567, 4,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=Before+Petersburgh.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE REBELLION.,"We have startling news this morning from the Army of the Potomac. Shortly before 5 o'clock on Saturday morning, a mine which had been excavated under the rebel works in Front of Gen. BURNSIDE'S corps, was fired by the application of a lucifer match, and instantly a vast volume of dirt was thrown very high into the air, and a gap formed through which our troops rushed and carried the first line of rebel works.",91883853,Historical Newspapers," Copyright New York Times Company Aug 1, 1864"," 80297063 , 1459078 , 113715", editorial_article," Aug 1, 1864",0362-4331, English, English, 4," New York, N.Y.","Aug 1, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91883853?accountid=13567, 4,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=unknown&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+REBELLION.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
THE PETERSBURGH MINE.,,91846960,Historical Newspapers," Copyright New York Times Company Aug 1, 1864"," 80297089-1 , 1459078 , 113715", article," Aug 1, 1864",0362-4331, English, English, 4," New York, N.Y.","Aug 1, 1864",New York Times (1857-1922),1864,http://search.proquest.com/docview/91846960?accountid=13567, 4,http://openurl.lib.rochester.edu/find?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Ahnpnewyorktimeswindex&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=New+York+Times+%281857-1922%29&amp;rft.atitle=THE+PETERSBURGH+MINE.&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=1864-08-01&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=4&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=New+York+Times+%281857-1922%29&amp;rft.issn=03624331,ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)
