"battle","pubdate","DocumentURL","Title","Abstract","StoreId","ArticleType","Authors","copyright","digitalObjectIdentifier","documentType","entryDate","issn","language","languageOfSummary","pages","placeOfPublication","pubtitle","year","startPage","Database"
"AL003",1864-08-27,"http://search.proquest.com/docview/91879584","DEPARTMENT OF THE GULF.","The United States steam transport Mississippi Capt. KENNEDY, arrived at this port, this morning, from New-Orleans 18th inst., and the Bar 19th. She brings a number of passengers, and 175 sick and wounded soldiers, consigned to the United States Assistant Quartermaster.",91879584,"Historical Newspapers",""," Copyright New York Times Company Aug 27, 1864"," 80297647-1 , 1459081 , 113715"," article",1864-08-27,"0362-4331"," English"," English",2," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-26,"http://search.proquest.com/docview/91809865","SOUTHERN NEWS.","The enemy's force engaged to-day consisted of three brigades of the Fifth Corps, with 18 pieces of artillery, and an unascertained force of cavalry, commanded by Gen. WARREN. The enemy engaged our cavalry about 9 o'clock, about four miles southwest of the town, driving them in some four miles, when our infantry came into action at 2 o'clock, driving the enemy back some three-quarters of a mile. Night closed the engagement with the enemy holding the Weldon Railroad at a point about three miles below the city.",91809865,"Historical Newspapers",""," Copyright New York Times Company Aug 26, 1864"," 80297529-1 , 1459080 , 113715"," front_page",1864-08-26,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-26,"http://search.proquest.com/docview/91805882","FROM NEW-ORLEANS.","We have New-Orleans dates of the afternoon of the 10th, through the steamer Ida Handy, just arrived.",91805882,"Historical Newspapers",""," Copyright New York Times Company Aug 26, 1864"," 80297540 , 1459080 , 113715"," article",1864-08-26,"0362-4331"," English"," English",2," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-26,"http://search.proquest.com/docview/91812257","THE CAMPAIGN, ITS SUCCESS AND ITS MISTAKES","The Public expectation was raised so high by the early successes of GRANT and SHERMAN, that, in the minds of many, there is an evident feeling of disappointment that the campaign is not now ended. Is that reasonable? Is a campaign, which involves on both sides the movement of a million of men and thousands of miles ...",91812257,"Historical Newspapers",""," Copyright New York Times Company Aug 26, 1864"," 80297577-1 , 1459080 , 113715"," article",1864-08-26,"0362-4331"," English"," English",5," New York, N.Y.","New York Times (1857-1922)",1864,5,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-25,"http://search.proquest.com/docview/91867700","THE BATTLE WITH THE FORTS.","Preparations for the attack had been in progress for two weeks past, and by a general order, dated ""Flagship Hartford, July 10, 1864,"" each vessel was sent to Pensacola Navy-yard, in her turn, for the purpose of stripping off all the spars and rigging which might interfere with her movement in action, and by hanging heavy cable chains over her side to form an iron shield for the protection of the boilers and machinery, which are partially exposed above the water line.",91867700,"Historical Newspapers",""," Copyright New York Times Company Aug 25, 1864"," 461024422 , 6028492 , 113715"," article",1864-08-25,"0362-4331"," English"," English",," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-24,"http://search.proquest.com/docview/91798149","LATEST FROM MOBILE.","The land forces under Gen. GRANGER are within 300 yards of Fort Morgan, and a general assault is expected in a few days. The fleet is fully prepared, including the ram Tennessee.",91798149,"Historical Newspapers",""," Copyright New York Times Company Aug 24, 1864"," 78730696 , 1446378 , 113715"," article",1864-08-24,"0362-4331"," English"," English",4," New York, N.Y.","New York Times (1857-1922)",1864,4,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-24,"http://search.proquest.com/docview/91793966","THE SIEGE OF FORT MORGAN.","",91793966,"Historical Newspapers",""," Copyright New York Times Company Aug 24, 1864"," 78730699 , 1446378 , 113715"," article",1864-08-24,"0362-4331"," English"," English",4," New York, N.Y.","New York Times (1857-1922)",1864,4,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-24,"http://search.proquest.com/docview/91804290","MOBILE.","The following was received at the Navy Department this morning:",91804290,"Historical Newspapers",""," Copyright New York Times Company Aug 24, 1864"," 78730701 , 1446378 , 113715"," article",1864-08-24,"0362-4331"," English"," English",5," New York, N.Y.","New York Times (1857-1922)",1864,5,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-23,"http://search.proquest.com/docview/91802466","DEPARTMENT OF THE GULF.","The steamer E.B. Sunder, from New-Orleans Aug. 14, arrived at this port yesterday.",91802466,"Historical Newspapers",""," Copyright New York Times Company Aug 23, 1864"," 78730553 , 1446377 , 113715"," front_page",1864-08-23,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-23,"http://search.proquest.com/docview/91838703","FORT MORGAN.","",91838703,"Historical Newspapers",""," Copyright New York Times Company Aug 23, 1864"," 78730557 , 1446377 , 113715"," article",1864-08-23,"0362-4331"," English"," English",2," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-23,"http://search.proquest.com/docview/91814575","REBEL ACCOUNTS.","",91814575,"Historical Newspapers",""," Copyright New York Times Company Aug 23, 1864"," 78730560-1 , 1446377 , 113715"," article",1864-08-23,"0362-4331"," English"," English",2," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-23,"http://search.proquest.com/docview/91808935","DEPARTMENT OF THE SOUTH.","On the night of the 9th inst., a blockade-runner, while attempting to either pass out of, or enter into Charleston Harbor, ran aground on Sullivan's Island beach, near the old pier opposite Fort Moultrie, when she was discovered at daylight the next morning by the gunners at Battery Chatfield.",91808935,"Historical Newspapers",""," Copyright New York Times Company Aug 23, 1864"," 78730562 , 1446377 , 113715"," article",1864-08-23,"0362-4331"," English"," English",2," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-23,"http://search.proquest.com/docview/91751625","THE MONITOR TECUMSEH.","",91751625,"Historical Newspapers"," From the True Delta, Aug. 11.
From the True Delta, Aug. 11."," Copyright New York Times Company Aug 23, 1864"," 78730563 , 1446377 , 113715"," article",1864-08-23,"0362-4331"," English"," English",2," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-22,"http://search.proquest.com/docview/91867832","The Situation in Mobile, as Viewed at Washington.","Rebel sympathizers here denounce ANDERSON as a ""traitor"", for the surrender of Fort Gaines be fore the fort had been fairly under fire for twenty four hours. The rebel dispatch from Mobile pronounces his conduct ""inexplicable,"" and the fact that Gen. PAGE had removed him from command when he visited the fort, and appointed a successor, shows that he (PAGE) believed the fort capable of a further resistance. But ANDERSON had already (unknown to PAGE) surrendered the fort on board of our fleet. It appears strange, however that the commander who succeeded ANDERSON should also have agreed to the surrender, as it would proba- ...",91867832,"Historical Newspapers",""," Copyright New York Times Company Aug 22, 1864"," 78730462 , 1446376 , 113715"," article",1864-08-22,"0362-4331"," English"," English",2," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-22,"http://search.proquest.com/docview/91862964","OUR NEW-ORLEANS CORRESPONDENCE","You may expect to hear shortly of the offensive being taken again in this department. Before this reaches you, GORDON GRANGER will be thundering at the gates of Mobile. I understand that our base of operations is to be Pascagoula. I presume that the importance of a demonstration upon this City of Mobile at this time is fully appreciated by Gen. CANBY, and that it is being pushed forward with all dispatch.",91862964,"Historical Newspapers",""," Copyright New York Times Company Aug 22, 1864"," 78730459 , 1446376 , 113715"," article",1864-08-22,"0362-4331"," English"," English",2," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-21,"http://search.proquest.com/docview/91864062","SOUTHERN NEWS.","From late Southern papers, received at this office, we make the following interesting extracts:",91864062,"Historical Newspapers"," From the Richmond Dispatch, Aug. 15.
From the Richmond Dispatch, Aug. 15."," Copyright New York Times Company Aug 21, 1864"," 78730327 , 1446375 , 113715"," front_page",1864-08-21,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-21,"http://search.proquest.com/docview/91874344","MOBILE.","Nothing later from Fort Morgan. The wires are broken.",91874344,"Historical Newspapers",""," Copyright New York Times Company Aug 21, 1864"," 78730330 , 1446375 , 113715"," front_page",1864-08-21,"0362-4331"," English"," English",2," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-21,"http://search.proquest.com/docview/91880242","THE PASSAGE BY THE FORTS.","The 5th of August was indeed an eventful day a Mobile Bay, and if in giving the subjoined ac count of those events, we republish some things already given to our readers, they will excuse the repetition:",91880242,"Historical Newspapers"," From the Era, Aug. 10.
From the Era, Aug. 10."," Copyright New York Times Company Aug 21, 1864"," 78730378 , 1446375 , 113715"," article",1864-08-21,"0362-4331"," English"," English",5," New York, N.Y.","New York Times (1857-1922)",1864,5,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-21,"http://search.proquest.com/docview/91862045","Additional Particulars of the Capture of Forts Gaines and Powell The Passage by the Forts.","",91862045,"Historical Newspapers",""," Copyright New York Times Company Aug 21, 1864"," 78730377 , 1446375 , 113715"," article",1864-08-21,"0362-4331"," English"," English",5," New York, N.Y.","New York Times (1857-1922)",1864,5,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-20,"http://search.proquest.com/docview/91813509","MOBILE.","The steamer Kate Dale, from Fort Gaines Harbor, yesterday morning, arrived here last night.",91813509,"Historical Newspapers",""," Copyright New York Times Company Aug 20, 1864"," 78730149-1 , 1446374 , 113715"," front_page",1864-08-20,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-20,"http://search.proquest.com/docview/91820407","THE BATTLE BELOW MOBILE.","",91820407,"Historical Newspapers",""," Copyright New York Times Company Aug 20, 1864"," 78730194 , 1446374 , 113715"," article",1864-08-20,"0362-4331"," English"," English",2," New York, N.Y.","New York Times (1857-1922)",1864,2,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-20,"http://search.proquest.com/docview/91804830","NEWS FROM WASHINGTON.","",91804830,"Historical Newspapers",""," Copyright New York Times Company Aug 20, 1864"," 78730280-1 , 1446374 , 113715"," article",1864-08-20,"0362-4331"," English"," English",8," New York, N.Y.","New York Times (1857-1922)",1864,8,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-17,"http://search.proquest.com/docview/91848705","OFFICIAL DISPATCH.","To Maj. Gen. John A. Dix: The following official report of the surrender of Fort Gaines and the abandonment of Fort Powell, dated Aug. 9, New-Orleans, has just been received from Maj.-Gen. CANBY: ...",91848705,"Historical Newspapers",""," Copyright New York Times Company Aug 17, 1864"," 82083479-1 , 1470964 , 113715"," front_page",1864-08-17,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-17,"http://search.proquest.com/docview/91848771","NEWS OF THE DAY.","Gen. GRANT has commenced a new, formidable, and thus far successful movement against the rebel capital. On Saturday last a powerful force, under Gen. HANCOCK, was thrown across the river at Deep Bottom.",91848771,"Historical Newspapers",""," Copyright New York Times Company Aug 17, 1864"," 82083519-1 , 1470964 , 113715"," article",1864-08-17,"0362-4331"," English"," English",4," New York, N.Y.","New York Times (1857-1922)",1864,4,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-16,"http://search.proquest.com/docview/91794731","FROM MOBILE.","The following official dispatches have been received by the Navy Department:",91794731,"Historical Newspapers",""," Copyright New York Times Company Aug 16, 1864"," 94113892-1 , 1540400 , 113715"," front_page",1864-08-16,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-16,"http://search.proquest.com/docview/91853035","FROM THE SOUTH.","We have received full files of Richmond papers as late as Aug. 12--Friday last. Although telegrams from Fortress Monroe have anticipated the news which they contain, they furnish us highly interesting extracts:",91853035,"Historical Newspapers",""," Copyright New York Times Company Aug 16, 1864"," 94113898 , 1540400 , 113715"," front_page",1864-08-16,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-16,"http://search.proquest.com/docview/91844585","NEWS OF THE DAY.","The official dispatches of Admiral FARRAGUT, which we lay before our readers this morning, add nothing to what is already known respecting the capture of Mobile; but they tell the whole story with that admirable brevity and clearness which are so characteristic of the gallant Admiral.",91844585,"Historical Newspapers",""," Copyright New York Times Company Aug 16, 1864"," 94113922-1 , 1540400 , 113715"," article",1864-08-16,"0362-4331"," English"," English",4," New York, N.Y.","New York Times (1857-1922)",1864,4,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-15,"http://search.proquest.com/docview/91854125","MOBILE.","Our New-Orleans files received yesterday by the steamship Creole contain ample and most interesting particulars of the victory of the gallant FARRAGUT and his fleet in Mobile Bay. The accounts of eye-witnesses, as they appear in the New-Orleans Times, Era and Picayune, are given with admirable clearness.",91854125,"Historical Newspapers",""," Copyright New York Times Company Aug 15, 1864"," 78991557-1 , 1449484 , 113715"," front_page",1864-08-15,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-15,"http://search.proquest.com/docview/91857038","FROM WASHINGTON.","Where is LEE'S army? is a question which is much asked of late here, but it finds no intelligent reply. It is accepted that large reductions have been made from the force lately at Petersburgh but precisely where the detachments have gone it is much more difficult to tell.",91857038,"Historical Newspapers",""," Copyright New York Times Company Aug 15, 1864"," 78991658-1 , 1449484 , 113715"," article",1864-08-15,"0362-4331"," English"," English",4," New York, N.Y.","New York Times (1857-1922)",1864,4,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-15,"http://search.proquest.com/docview/91866945","SOUTHERN NEWS.","The enemy have been unusually active during the past sixteen hours. About four o'clock yesterday afternoon a heavy assault was made upon the works held by our skirmishers upon the extreme left. After some stubborn fighting they succeeded in gaining possession of the position there, but subsequently were driven from it, and our lines were reestablished.",91866945,"Historical Newspapers",""," Copyright New York Times Company Aug 15, 1864"," 78991745-1 , 1449484 , 113715"," article",1864-08-15,"0362-4331"," English"," English",8," New York, N.Y.","New York Times (1857-1922)",1864,8,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-12,"http://search.proquest.com/docview/91886385","WAR OFFICE DISPATCH.","Te Maj.-Gen. Dix, New York: No further intelligence has been received from Mobile, except from deserters, who report the capture of the city, but nothing official.",91886385,"Historical Newspapers",""," Copyright New York Times Company Aug 12, 1864"," 78729289-1 , 1446366 , 113715"," front_page",1864-08-12,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-12,"http://search.proquest.com/docview/91893731","The Situation at Mobile.","FARRAGUT advances at Mobile. The rebellion has received another and severe blow from him. We are informed by an official gazette this morning that Fort Powell has been blown up, that Fort Gaines has surrendered, with its garrison, and that the Stars and Stripes are now flying victorious from where the Stars and Bars were but yesterday exhibited.",91893731,"Historical Newspapers",""," Copyright New York Times Company Aug 12, 1864"," 78729417 , 1446366 , 113715"," article",1864-08-12,"0362-4331"," English"," English",5," New York, N.Y.","New York Times (1857-1922)",1864,5,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-11,"http://search.proquest.com/docview/91855056","FROM MOBILE.","Maj.-Gen. Dix, New-York: The following report of the success of our operations at Mobile, extracted from the Richmond Enquirer of this morning, has just been received by this Department from Maj.-Gen. BUTLER:",91855056,"Historical Newspapers",""," Copyright New York Times Company Aug 11, 1864"," 78991464-1 , 1449482 , 113715"," front_page",1864-08-11,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-11,"http://search.proquest.com/docview/91844062","Article 2 -- No Title","",91844062,"Historical Newspapers",""," Copyright New York Times Company Aug 11, 1864"," 78991508 , 1449482 , 113715"," article",1864-08-11,"0362-4331"," English"," English",4," New York, N.Y.","New York Times (1857-1922)",1864,4,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
"AL003",1864-08-10,"http://search.proquest.com/docview/91844826","From Washington.","",91844826,"Historical Newspapers",""," Copyright New York Times Company Aug 10, 1864"," 78729175 , 1446365 , 113715"," front_page",1864-08-10,"0362-4331"," English"," English",1," New York, N.Y.","New York Times (1857-1922)",1864,1,"ProQuest Historical Newspapers: The New York Times (1851-2009) with Index (1851-1993)"
